x,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39
000001.XSHE,0.975694444,8.92,0.995515695,0.997747748,1.025959368,1.00110011,1.162637363,10.73,10.51,1.035204567,0.935661765,1.057956778,11.04,1.015398551,0.977698483,0.982664234,1.056638812,0.993848858,1.007073386,1.030728709,1.082623509,14.13,12.8,1.0390625,0.983458647
000002.XSHE,0.983379501,1.105915493,0.989302089,1.005149331,1.21772541,0.960875053,0.995183888,1.014518258,0.943191674,0.974252874,0.959886739,1.05653884,1.024197301,1.104952294,1.138157895,0.932803468,1.009682417,0.96547756,1.107667859,0.960903874,1.021276596,1.100511696,0.981733643,0.973951286,0.974296631
000008.XSHE,0.986244842,0.966527197,1.043290043,1.015214385,0.989100817,1.00137741,1.002751032,1.043895748,0.980289093,1.024128686,1.048429319,1.001248439,0.985037406,1.056962025,1.098203593,0.930207197,1.058616647,0.980066445,1.039548023,0.980434783,0.99556541,0.974387528,0.971428571,1.001176471,0.989424207
000009.XSHE,0.982984293,0.960053262,1.045769764,1.031830239,1.028277635,1.03375,0.980652963,1.025893958,1.140625,0.931506849,0.95361991,1.008303677,1.007058824,1.103971963,0.99047619,0.961538462,0.977777778,0.954545455,0.95952381,0.973945409,0.984713376,0.965071151,1.012064343,0.982781457,0.971698113
000027.XSHE,1.093397746,0.921944035,1.057507987,0.98489426,1.02607362,1.004484305,0.992559524,0.982008996,0.996946565,0.995405819,0.976923077,1.003149606,1.021978022,0.998463902,0.989230769,0.982892691,1.011075949,0.995305164,0.982704403,1.0048,0.996815287,0.948881789,1.01010101,0.998333333,0.996661102
000039.XSHE,1.065629229,0.983492063,1.065203357,1.019393939,1.024375743,1.00754498,1.006912442,1.011441648,1.065045249,0.984599044,0.962243797,0.999439462,1.042063937,0.997308934,0.975175391,0.983397897,1.043331458,0.964401294,1.012863535,1.097736057,1.013078471,0.945382324,1.017857143,1.015995872,1.097003555
000060.XSHE,1.032206119,0.973478939,1.036858974,1.072642968,1.036023055,1.022253129,1.017687075,1.045454545,1.025575448,1.03117207,0.935912938,1.009043928,1.089628681,0.987074031,0.952380952,0.9925,0.967254408,0.966145833,0.962264151,1,0.957983193,0.976608187,1.061377246,0.966149506,0.998540146
000061.XSHE,1.00942285,0.997666278,1.046783626,1.002234637,1.001114827,1,1,1,1,1,1,1,1,1,1,1.024498886,0.948913043,1.013745704,0.93220339,0.981818182,0.987654321,0.93875,1.018641811,0.973856209,1.025503356
000063.XSHE,1.102088167,1.028947368,1.07314578,1.030028599,1.1092087,0.981226533,0.987244898,1.018949182,0.969991547,0.9708061,1.006732496,1.017387428,1.03768624,1.068412162,0.96916996,1.14274062,1.041042113,0.982516284,1.099092812,1.068253968,1.070430906,1.077456968,0.864725586,1.110548272,0.956801717
000069.XSHE,1.060686016,1.036069652,1.055222089,1.03185438,1.060639471,0.964656965,0.990301724,0.982589771,0.972314507,0.951025057,0.980838323,1.014652015,0.997593261,1.059107358,1.012528474,0.88976378,0.98988622,1.025542784,1.01867995,0.980440098,0.996259352,1.065081352,0.992949471,0.976331361,0.940606061
000100.XSHE,1,1,1,1,1,1,1,1,1.069069069,1.014044944,0.96398892,0.988505747,1.011627907,0.997126437,1,0.988472622,1.040816327,1.112044818,1.075566751,1.091334895,1.004291845,0.893162393,0.961722488,1.007462687,0.97037037
000156.XSHE,0.979916898,0.963250883,1.048422597,1.013995801,0.995859213,1.006237006,0.969008264,0.982942431,1.024584237,1.023288638,1.002758621,0.984869326,1.018854749,1.002056203,0.980848153,0.981868898,1.026988636,0.964038728,0.979196557,1.003663004,0.995620438,0.960410557,0.995419847,0.970858896,0.929699842
000157.XSHE,1.005076142,1.015151515,1.02238806,0.99270073,1.019607843,1,1.012019231,1.049881235,1,1.020361991,0.962305987,1.011520737,1,0.995444191,0.99771167,0.97706422,1.046948357,0.97309417,1.00921659,0.988584475,0.986143187,0.983606557,1,0.969047619,1.002457002
000166.XSHE,0.975970425,1.039772727,1.010928962,0.996396396,1.003616637,1.003603604,1.030520646,1.005226481,1.012131716,1.003424658,0.979522184,0.989547038,1.061619718,0.980099502,0.99323181,0.982964225,1.006932409,0.977624785,0.982394366,0.998207885,0.994614004,0.996389892,1.001811594,0.985533454,0.972477064
000333.XSHE,1.012886598,1.008199039,1.104038138,1.001016002,1.090586146,0.976035365,0.977830751,0.997805948,0.983386269,0.970434783,0.976702509,1.063171691,0.983727811,0.986967419,1.041899441,1.043139166,1.088317757,0.999141262,1.08637731,1.019185127,0.991073161,1.022126493,0.946551724,1.06010929,1.033982436
000338.XSHE,1.022540984,1.016032064,1.045364892,1.018867925,1.114814815,1.008305648,1.029654036,1.0288,1.0155521,0.995405819,0.956923077,1.01607717,1.068037975,1.034074074,1,0.979942693,1.032163743,1.002832861,1.074858757,1.090670171,0.987951807,0.97195122,0.973651192,0.956185567,1.018867925
000402.XSHE,1.027559055,1.045019157,1.043996334,0.967515364,1.04446461,0.970460469,1.017905103,1.033421284,0.968510638,0.971880492,0.97920434,1.059095106,0.997384481,1.018356643,1.077253219,0.994422311,0.927884615,0.979274611,0.980599647,0.977517986,0.999080037,0.983425414,1.014981273,0.999077491,0.951985226
000413.XSHE,1.010298661,0.976554536,1.025052192,1.053971487,1.045410628,1.085951941,0.952340426,0.977658624,1.043875686,0.943957968,1.009276438,1,0.930147059,1.072134387,1.002764977,1.028492647,0.984807864,0.949183303,0.962715105,1.042701092,1,0.881904762,1.020518359,1.010582011,0.991623037
000415.XSHE,1.009630819,0.988871224,1.030546624,1,1.015600624,1.032258065,1.010416667,1.00736377,1.007309942,1.008708273,0.968345324,0.988112927,1.033082707,0.995633188,0.979532164,0.97761194,1.003053435,0.96194825,0.995253165,1.0063593,0.992101106,0.949044586,0.983221477,0.959044369,1.012455516
000423.XSHE,1.054723966,0.994964139,1.027453988,1.009553665,1.038148751,0.958552913,0.964041605,1.005394575,0.965046758,0.996346307,0.987244898,0.994670543,0.987335606,1.005755632,1.009810334,1.013277202,1.047619048,1.012355095,1.014615037,0.954855955,0.956920684,0.991548838,0.964268153,1.01699813,0.987798763
000425.XSHE,0.971014493,0.997014925,1.050898204,1.002849003,1.045454545,1.027173913,1.018518519,1.020779221,1.012722646,0.979899497,0.951282051,1.008086253,1.00802139,1.00530504,0.984168865,0.978552279,1.008219178,0.991847826,1.010958904,0.986449864,1.016483516,1.021621622,0.978835979,1.035135135,1.065274151
000503.XSHE,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.581227437,1.01674277
000538.XSHE,1.037141846,1.008640291,1.032574391,0.995306189,1.031366528,0.949064228,0.992380952,1.010613074,0.969277176,0.988012909,1.019015399,0.992673154,0.982124322,0.996124941,1.004715313,1.017364778,1.059624034,1.063778842,1.075404133,0.992388926,0.941999808,0.981681254,0.967032967,1.038379074,1.030766054
000540.XSHE,0.973105134,1.035175879,1.016990291,0.992840095,1.091346154,0.975770925,1.013544018,1.195991091,1.033519553,0.935135135,0.930635838,1.008281573,1,1,1,1,1,1,1,1,1,1,1,1,1
000555.XSHE,0.99107674,1.008403361,0.970833333,1.044757817,0.976525822,1.003004808,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.795086878
000559.XSHE,0.98245614,1.002232143,1.028953229,1.045454545,1.089026915,0.984790875,0.958494208,0.995971803,1.03033367,1.008832188,1.013618677,1.009596929,0.985741445,1.054966249,1.037477148,0.992070485,1.03374778,0.957044674,0.982046679,1.02559415,0.974153298,0.892955169,0.990778689,0.982419855,0.967368421
000568.XSHE,1.022701731,1.013406593,1.038169594,1.00229789,1.057107128,0.9420347,1.000418585,1.05251046,1.077718147,1.014939137,1.011811739,0.950251437,1.022491022,0.941219963,1.061468971,1.01813136,1.058695257,0.974939924,1.031690141,1.112798635,1.01073455,0.943559399,0.944846438,1.060074881,1.052978006
000623.XSHE,0.990677134,1.031203566,1.060038425,1,1.011327594,0.996863799,1.005393258,1.029056772,0.984361425,0.981023831,0.979307242,0.98989435,1.060324826,0.984682713,0.989333333,0.987421384,1.021838035,0.999554764,1.03518931,0.993975904,1.045021645,0.948632974,0.983406114,0.996891652,0.959020045
000625.XSHE,1.009771987,1.028225806,1.047058824,0.989513109,1.040878123,0.985454545,0.982287823,1.066115702,0.95701198,0.990427099,0.956133829,1.000777605,1.015540016,1.003060444,1.009153318,0.988662132,1.040519878,0.999265246,0.945588235,0.989891135,0.985860173,0.989641434,1.011272142,0.999203822,0.961752988
000627.XSHE,0.953125,0.923497268,1.060650888,0.994421199,1.137447405,1.020961776,1.077294686,1.217488789,0.926335175,0.927435388,0.99249732,0.975161987,1.044296788,0.992576882,1.002136752,0.953091684,1.013422819,0.953642384,1.071759259,1.059395248,1.042813456,0.985337243,0.89484127,1.005543237,0.998897464
000630.XSHE,1.034351145,0.966789668,1.034351145,1.014760148,1.003636364,1.039855072,1.020905923,1.037542662,1.052631579,1.0125,0.925925926,1.003333333,1.053156146,0.993690852,0.965079365,0.990131579,1.006644518,0.98679868,0.959866221,0.982578397,0.971631206,0.99270073,1.014705882,0.985507246,0.996323529
000651.XSHE,1.022482584,1.004645401,1.060727497,1.03545481,1.110300309,0.992416582,1.044574631,0.992684711,0.963890936,0.98088685,0.985190959,1.039820675,0.966522952,0.973760168,1.004850445,1.03378922,1.048508431,1.001979218,1.080246914,1.010057143,1.028739534,0.990101188,0.924905577,1.043478261,1.026243094
000671.XSHE,1.033898305,1.012750455,1.032374101,0.963414634,1.045207957,0.984429066,1,1.026362039,0.976027397,0.954385965,1.001838235,1.016513761,1.068592058,1.162162162,1.193313953,0.881851401,0.943370166,0.970717423,1.054298643,0.902718169,0.982567353,1.051612903,1.030674847,1.013392857,1.046989721
000686.XSHE,0.950939457,1.024149286,1.02357985,1.030366492,1.004065041,0.990890688,1.029622063,1.001984127,1.032673267,1.020134228,0.968984962,0.974781765,1.072636816,0.977736549,0.989563567,0.97219559,1.006903353,0.956904995,0.975435005,1.003147954,0.992677824,0.954689146,1.01214128,0.996728462,0.971553611
000709.XSHE,1.024096386,0.945882353,1.029850746,1,0.97826087,1.032098765,1.023923445,1.009345794,1.236111111,0.941947566,0.904572565,0.973626374,1.090293454,0.952380952,0.965217391,0.970720721,0.990719258,0.962529274,0.98296837,1.004950495,0.990147783,0.955223881,1.041666667,0.9725,0.982005141
000712.XSHE,0.963527851,1.002064694,1.052197802,1.073759791,1.00668693,0.978864734,1.143738433,1.035598706,0.998958333,1.015119917,0.933230611,0.969730325,1.080022701,0.993694167,1.044949762,1.057186235,0.986596458,0.915089762,0.990455992,1.026766595,0.924400417,0.955442752,1.017709563,1.008700696,1.013225992
000718.XSHE,1.042402827,0.962711864,1.031690141,1.010238908,0.976351351,0.996539792,0.987847222,0.949033392,1.02037037,0.985480944,0.987108656,1.014925373,0.992647059,1.007407407,1.049632353,0.938704028,1.009328358,0.981515712,0.979284369,0.969230769,1,0.938492063,1.016913319,0.95010395,0.967177243
000725.XSHE,1.083333333,0.937965261,1.047619048,0.982323232,1.043701799,1.002463054,0.948402948,1.012953368,0.99488491,0.969151671,1.00530504,1.005277045,0.992125984,1.034391534,1.010230179,1.048101266,1.1352657,1.061702128,1.214428858,1.062706271,0.951863354,0.973898858,0.887772194,1.079245283,0.973776224
000728.XSHE,0.976460331,1.069642857,1.012520868,1.037098104,0.9936407,0.9688,1.064409579,1.005430566,1.00462963,1.06374808,0.934296029,1.01236476,1.096946565,0.985386221,0.999293785,0.971024735,0.989082969,0.915378955,0.971864952,1.033912324,0.9696,0.972772277,1.013570823,0.981589958,0.958226769
000738.XSHE,1.011566772,0.943347193,1.051790634,1.032477737,1.012683917,0.98496994,1.019328586,0.930139721,1.010729614,1.021231423,1.029106029,0.967171717,1.018798956,1.020502307,0.996484179,0.998991935,1.027245207,0.995579568,0.911692156,0.992424242,0.975463468,0.912800447,1.014084507,0.989130435,1.004273504
000750.XSHE,0.957446809,1.042424242,1.027131783,1.037735849,0.998181818,0.983606557,1.038888889,1.012477718,0.992957746,1.072695035,1,0.963636364,1.056603774,0.977272727,0.985049834,0.97301855,1.005199307,0.955172414,0.97833935,0.992619926,0.981412639,0.965909091,1.009803922,0.994174757,0.97265625
000768.XSHE,0.983560091,0.965417867,1.061492537,1.051181102,0.997324773,1.005901288,0.976533333,0.972692518,1.015160022,1.043141593,1.04135737,0.954684318,0.999466667,0.993062967,0.991402472,1.012466125,1.05888651,0.98281092,0.930555556,1.008844666,0.988493151,0.940133038,1.018867925,1.009837963,1.036103152
000776.XSHE,0.982758621,1.059379217,1.015923567,1.014420063,1.013597033,0.992073171,1.039336202,1.020697812,0.997682503,0.994773519,0.968476357,0.999397227,1.133896261,0.971808511,1.007662835,0.990765888,1.009320175,0.957088539,0.987514188,0.997701149,0.996543779,1.000578035,0.986135182,1.006444054,0.962165308
